ABANT İZZET BAYSAL ÜNİVERSİTESİ,BOLU
BAHÇEŞEHİR ÜNİVERSİTESİ,TÜRKİYE
BALIKESİR ÜNİVERSİTESİ,BALIKESİR
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,BALIKESİR
BARTIN ÜNİVERSİTESİ,BARTIN
BAŞKENT ÜNİVERSİTESİ,Ankara
BATMAN ÜNİVERSİTESİ,Türkiye
BAYBURT ÜNİVERSİTESİ,BAYBURT
BEYKENT ÜNİVERSİTESİ,İSTANBUL
BEYKOZ ÜNİVERSİTESİ,İstanbul
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,İSTANBUL
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Bilecik
BİNGÖL ÜNİVERSİTESİ,BİNGÖL
BİRUNİ ÜNİVERSİTESİ,İstanbul
BİTLİS EREN ÜNİVERSİTESİ,Bitlis
BOĞAZİÇİ ÜNİVERSİTESİ,Türkiye
BOZOK ÜNİVERSİTESİ,Yozgat
BURSA TEKNİK ÜNİVERSİTESİ,BURSA
BÜLENT ECEVİT ÜNİVERSİTESİ,ZONGULDAK
CUMHURİYET ÜNİVERSİTESİ,SİVAS
ÇAĞ ÜNİVERSİTESİ,MERSİN
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,ÇANAKKALE
ÇANKAYA ÜNİVERSİTESİ,ANKARA
ÇANKIRI KARATEKİN ÜNİVERSİTESİ,Çankırı
ÇUKUROVA ÜNİVERSİTESİ,ADANA
DİCLE ÜNİVERSİTESİ,Diyarbakır
DOĞUŞ ÜNİVERSİTESİ,İstanbul
DOKUZ EYLÜL ÜNİVERSİTESİ,İZMİR
DUMLUPINAR ÜNİVERSİTESİ,KÜTAHYA
DÜZCE ÜNİVERSİTESİ,Düzce
,
ERCİYES ÜNİVERSİTESİ,KAYSERİ
ERZİNCAN ÜNİVERSİTESİ,Merkez
ERZURUM TEKNİK ÜNİVERSİTESİ,ERZURUM
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,Eskişehir
FARUK SARAÇ TASARIM MESLEK YÜKSEKOKULU,BURSA
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İSTANBUL
FENERBAHÇE ÜNİVERSİTESİ,
FIRAT ÜNİVERSİTESİ,ELAZIĞ
GALATASARAY ÜNİVERSİTESİ,İstanbul
GAZİ ÜNİVERSİTESİ,Ankara
GAZİANTEP ÜNİVERSİTESİ,REKTÖRLÜĞÜ
GAZİOSMANPAŞA ÜNİVERSİTESİ,TOKAT
GEBZE TEKNİK ÜNİVERSİTESİ,KOCAELİ
GİRESUN ÜNİVERSİTESİ,Giresun
GÜMÜŞHANE ÜNİVERSİTESİ,GÜMÜŞHANE
HACETTEPE ÜNİVERSİTESİ,ANKARA
HAKKARİ ÜNİVERSİTESİ,Mahallesi
HALİÇ ÜNİVERSİTESİ,istanbul
HARRAN ÜNİVERSİTESİ,Türkiye
HASAN KALYONCU ÜNİVERSİTESİ,GAZİANTEP
HİTİT ÜNİVERSİTESİ,ÇORUM
IĞDIR ÜNİVERSİTESİ,IĞDIR
IŞIK ÜNİVERSİTESİ,İSTANBUL
İBN HALDUN ÜNİVERSİTESİ,No:2
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,ANKARA
İNÖNÜ ÜNİVERSİTESİ,MALATYA
İSKENDERUN TEKNİK ÜNİVERSİTESİ,HATAY
İSTANBUL AREL ÜNİVERSİTESİ,İSTANBUL
İSTANBUL AYDIN ÜNİVERSİTESİ,İSTANBUL
İSTANBUL AYVANSARAY ÜNİVERSİTESİ,İstanbul
İSTANBUL BİLGİ ÜNİVERSİTESİ,İstanbul
İSTANBUL BİLİM ÜNİVERSİTESİ,İSTANBUL
İSTANBUL ESENYURT ÜNİVERSİTESİ,İSTANBUL
İSTANBUL GEDİK ÜNİVERSİTESİ,
İSTANBUL GELİŞİM ÜNİVERSİTESİ,İSTANBUL
İSTANBUL KAVRAM MESLEK YÜKSEKOKULU,İSTANBUL
İSTANBUL KENT ÜNİVERSİTESİ,İSTANBUL
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,İSTANBUL
İSTANBUL MEDENİYET ÜNİVERSİTESİ,İstanbul
İSTANBUL MEDİPOL ÜNİVERSİTESİ,İstanbul
İSTANBUL RUMELİ ÜNİVERSİTESİ,İSTANBUL
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,34303
İSTANBUL ŞEHİR ÜNİVERSİTESİ,İSTANBUL
İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,İstanbul
İSTANBUL TEKNİK ÜNİVERSİTESİ,İSTANBUL
İSTANBUL TİCARET ÜNİVERSİTESİ,İSTANBUL
İSTANBUL ÜNİVERSİTESİ,Türkiye
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,İstanbul
İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İSTANBUL
,
İZMİR BAKIRÇAY ÜNİVERSİTESİ,
İZMİR DEMOKRASİ ÜNİVERSİTESİ,İZMİR
İZMİR EKONOMİ ÜNİVERSİTESİ,İZMİR
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,İZMİR
KADİR HAS ÜNİVERSİTESİ,34083
KAFKAS ÜNİVERSİTESİ,KARS
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,Kahramanmaraş
KAPADOKYA ÜNİVERSİTESİ,Nevşehir
KARABÜK ÜNİVERSİTESİ,Mevkii
KARADENİZ TEKNİK ÜNİVERSİTESİ,Trabzon
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,TÜRKİYE
KASTAMONU ÜNİVERSİTESİ,KASTAMONU
KIRIKKALE ÜNİVERSİTESİ,Kırıkkale
KIRKLARELİ ÜNİVERSİTESİ,Kırklareli
KİLİS 7 ARALIK ÜNİVERSİTESİ,KİLİS
KOCAELİ ÜNİVERSİTESİ,KOCAELİ
KOÇ ÜNİVERSİTESİ,ISTANBUL
KONYA GIDA VE TARIM ÜNİVERSİTESİ,KONYA
KTO KARATAY ÜNİVERSİTESİ,KONYA
MALTEPE ÜNİVERSİTESİ,İSTANBUL
MANİSA CELÂL BAYAR ÜNİVERSİTESİ,MANİSA
MARDİN ARTUKLU ÜNİVERSİTESİ,Mardin
MARMARA ÜNİVERSİTESİ,İstanbul
MEF ÜNİVERSİTESİ,İstanbul
MEHMET AKİF ERSOY ÜNİVERSİTESİ,BURDUR
MERSİN ÜNİVERSİTESİ,MERSİN
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,İstanbul
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,MUĞLA
MUNZUR ÜNİVERSİTESİ,TUNCELİ
MUSTAFA KEMAL ÜNİVERSİTESİ,Hatay
MUŞ ALPARSLAN ÜNİVERSİTESİ,MUŞ
NAMIK KEMAL ÜNİVERSİTESİ,TEKİRDAĞ
NECMETTİN ERBAKAN ÜNİVERSİTESİ,KONYA
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,NEVŞEHİR
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,NİĞDE
NİŞANTAŞI ÜNİVERSİTESİ,İSTANBUL
NUH NACİ YAZGAN ÜNİVERSİTESİ,Kayseri
OKAN ÜNİVERSİTESİ,İSTANBUL
ONDOKUZ MAYIS ÜNİVERSİTESİ,SAMSUN
ORDU ÜNİVERSİTESİ,ORDU
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,TÜRKİYE
OSMANİYE KORKUT ATA ÜNİVERSİTESİ,OSMANİYE
OSTİM TEKNİK ÜNİVERSİTESİ,
ÖZYEĞİN ÜNİVERSİTESİ,İstanbul
PAMUKKALE ÜNİVERSİTESİ,DENİZLİ
PİRİ REİS ÜNİVERSİTESİ,İSTANBUL
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,RİZE
SABANCI ÜNİVERSİTESİ,İstanbu
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,İSTANBUL
SAKARYA ÜNİVERSİTESİ,SAKARYA
SANKO ÜNİVERSİTESİ,GAZİANTEP
SELÇUK ÜNİVERSİTESİ,KONYA
SİİRT ÜNİVERSİTESİ,SİİRT
SİNOP ÜNİVERSİTESİ,SİNOP
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,ISPARTA
ŞIRNAK ÜNİVERSİTESİ,Türkiye
TED ÜNİVERSİTESİ,ANKARA
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,ANKARA
TOROS ÜNİVERSİTESİ,MERSİN
TRAKYA ÜNİVERSİTESİ,EDİRNE
TÜRK HAVA KURUMU ÜNİVERSİTESİ,ANKARA
TÜRK-ALMAN ÜNİVERSİTESİ,İSTANBUL
TÜRKİYE ULUSLARARASI İSLAM, BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,
UFUK ÜNİVERSİTESİ,ANKARA
ULUDAĞ ÜNİVERSİTESİ,BURSA
UŞAK ÜNİVERSİTESİ,UŞAK
ÜSKÜDAR ÜNİVERSİTESİ,İstanbul
YALOVA ÜNİVERSİTESİ,Yalova
YAŞAR ÜNİVERSİTESİ,İZMİR
YEDİTEPE ÜNİVERSİTESİ,İstanbul
YILDIZ TEKNİK ÜNİVERSİTESİ,İstanbul
YÜKSEK İHTİSAS ÜNİVERSİTESİ,ANKARA
YÜZÜNCÜ YIL ÜNİVERSİTESİ,VAN
